Name,City
Blockhouse Bay School,Auckland
Bombay School,Bombay
Botany Downs School,Auckland
Brookby School,Auckland
Browns Bay School,Auckland
Bruce McLaren Intermediate,Auckland
Buckland School,Buckland-Auckland
Bucklands Beach Intermediate,Auckland
Bucklands Beach Primary School,Auckland
Campbells Bay School,Auckland
Chaucer School,Auckland
Chelsea School,Auckland
Christ the King Catholic School (Owairaka),Auckland
Churchill Park School,Auckland
Clayton Park School,Auckland
Clendon Park School,Auckland
Clevedon School,Papakura
Sir Edmund Hillary Collegiate Junior School,Auckland
Coatesville School,Auckland
Cockle Bay School,Auckland
Colwill School,Auckland
Conifer Grove School,Auckland
Cornwall Park District School,Auckland
Cosgrove School,Papakura
Dairy Flat School,Auckland
Dawson School,Auckland
Devonport Primary School,Auckland
Dominion Road School,Auckland
Don Buck School,Auckland
Drury School,Drury
East Tamaki School,Auckland
Edendale School (Auckland),Auckland
Edmonton School,Auckland
Edmund Hillary School,Papakura
Ellerslie School,Auckland
Elm Park School,Auckland
Epsom Normal School,Auckland
Fairburn School,Auckland
Farm Cove Intermediate,Auckland
Favona School,Auckland
Ferguson Intermediate (Otara),Auckland
Finlayson Park School,Auckland
Flanshaw Road School,Auckland
Flat Bush School,Auckland
Forrest Hill School,Auckland
Freemans Bay School,Auckland
Freyberg Community School,Auckland
Fruitvale Road School,Auckland
Gladstone School (Auckland),Auckland
Glamorgan School,Auckland
Glen Eden Intermediate,Auckland
Glen Eden School,Auckland
Glen Innes School,Auckland
Glen Taylor School,Auckland
Glenavon School,Auckland
Glenbrae Primary School,Auckland
Glenbrook School,Waiuku
Glendene School,Auckland
Glendowie School,Auckland
Glenfield Intermediate,Auckland
Glenfield Primary School,Auckland
Good Shepherd School (Balmoral),Auckland
Green Bay Primary School,Auckland
Greenhithe School,Auckland
Greenmeadows Intermediate,Auckland
Grey Lynn School,Auckland
Halsey Drive School,Auckland
Harrisville School,Tuakau
Hauraki School,Auckland
Hay Park School,Auckland
Helensville School,Helensville
Henderson Intermediate,Waitakere
Henderson North School,Auckland
Henderson School,Auckland
Henderson South School,Auckland
Henderson Valley School,Auckland
Hillpark School,Auckland
Hillsborough School,Auckland
Hobsonville School,Auckland
Holy Cross School (Papatoetoe),Auckland
Holy Cross Catholic School (Henderson),Auckland
Homai School,Auckland
Howick Intermediate,Auckland
Howick Primary School,Auckland
Huapai District School,Huapai
Hunua School,Papakura
Jean Batten School,Auckland
Kaiaua School,Pokeno
Kaipara Flats School,Warkworth
Karaka School,Papakura
Kaukapakapa School,Kaukapakapa
Kauri Park School,Auckland
Kaurilands School,Auckland
Kedgley Intermediate,Auckland
Kelston Intermediate,Auckland
Kelston School,Auckland
Kelvin Road School,Papakura
Kingsford School,Auckland
Kohimarama School,Auckland
Konini School (Auckland),Auckland
Koru School,Auckland
Kowhai Intermediate,Auckland
Laingholm School,Auckland
Leabank School,Auckland
Leigh School,Warkworth
Lincoln Heights School,Auckland
Long Bay School,Auckland
Mairangi Bay School,Auckland
Mangatangi School,Mangatangi
Mangatawhiri School,Pokeno
Mangere Bridge School,Auckland
Mangere Central School,Auckland
Mangere East School,Auckland
Manuka Primary School,Auckland
Royal Oak Intermediate School,Auckland
Manurewa East School,Auckland
Manurewa Intermediate,Auckland
Manurewa Central School,Auckland
Manurewa South School,Auckland
Manurewa West School,Auckland
Maraetai Beach School,Maraetai Beach
Maramarua School,Maramarua
Marist School (Mt Albert),Auckland
Marist Catholic School (Herne Bay),Auckland
Marlborough School,Auckland
Marshall Laing School,Auckland
Massey Primary School,Auckland
Matakana School,Warkworth
Matipo Road School,Auckland
Mauku School,Mauku
Maungawhau School,Auckland
May Road School,Auckland
Mayfield School (Auckland),Auckland
Meadowbank School,Auckland
Mellons Bay School,Auckland
Mercer School,Mercer
Meremere School,Meremere
Milford School (Auckland),Auckland
Monte Cecilia School (Mt Roskill),Auckland
Mt Eden Normal School,Auckland
Mt Richmond School,Auckland
Mountain View School,Auckland
Mt Albert School,Auckland
Mt Carmel School (Meadowbank),Auckland
Mt Roskill Intermediate,Auckland
Mt Roskill Primary School,Auckland
Mulberry Grove School,Tryphena
Murrays Bay Intermediate,Auckland
Murrays Bay School,Auckland
Macleans Primary School,Auckland
New Lynn School,Auckland
New Windsor School,Auckland
Newmarket School,Auckland
Newton Central School,Auckland
Nga Iwi School,Auckland
Northcote Intermediate,Auckland
Northcote School (Auckland),Auckland
Northcross Intermediate,Auckland
Oaklynn Special School,Auckland
Okiwi School,Okiwi
Onehunga Primary School,Auckland
Onepoto School,Auckland
Opaheke School,Papakura
Orakei School,Auckland
Oranga School,Auckland
Oratia School,Auckland
Orere School,Papakura
Orewa North School,Orewa
Orewa School,Orewa
Otahuhu Intermediate,Auckland
Otahuhu School,Auckland
Otaua School,Waiuku
Our Lady Sacred Heart School (Epsom),Auckland
Owairaka District School,Auckland
Owairoa Primary School,Auckland
Paerata School,Pukekohe
Pakuranga Heights School,Auckland
Pakuranga Intermediate,Auckland
Panama Road School,Auckland
Panmure Bridge School,Auckland
Panmure District School,Auckland
Papakura Central School,Papakura
Papakura Intermediate,Papakura
Papakura Normal School,Papakura
Kereru Park Campus,Papakura
Paparimu School,Papakura
Papatoetoe Central School,Auckland
Papatoetoe East School,Auckland
Papatoetoe Intermediate,Auckland
Papatoetoe North School,Auckland
Papatoetoe South School,Auckland
Papatoetoe West School,Auckland
Parakai School,Parakai
Ridgeview School,Auckland
Park Estate School,Papakura
Parkside School,Pukekohe
Parnell School,Auckland
Pasadena Intermediate,Auckland
Patumahoe Primary School,Patumahoe
Pigeon Mountain School,Auckland
Pt Chevalier School,Auckland
Pt England School,Auckland
Pokeno School,Pokeno
Pomaria Road School,Auckland
Ponsonby Intermediate,Auckland
Ponsonby Primary School,Auckland
Prospect School,Auckland
Puhinui School,Auckland
Pukekawa School,Tuakau
Pukekohe East School,Pukekohe
Pukekohe Hill School,Pukekohe
Pukekohe Intermediate,Pukekohe
Pukekohe North School,Pukekohe
Pukeoware School,Waiuku
Puni School,Pukekohe
Ramarama School,Drury
Rangeview Intermediate,Auckland
Ranui School,Auckland
Redhill School,Papakura
Redoubt North School,Auckland
Remuera Intermediate,Auckland
Remuera School,Auckland
Richmond Road School,Auckland
Riverhead School,Riverhead
Riverhills School,Auckland
Riverina School,Auckland
Robertson Road School,Auckland
Rongomai School,Auckland
Roscommon School,Auckland
Rosebank School (Auckland),Auckland
Rosehill School,Papakura
Rosehill Intermediate,Papakura
Rowandale School,Auckland
Royal Oak School,Auckland
Royal Road School,Auckland
Ruapotaka School,Auckland
Rutherford School,Auckland
Sandspit Road School,Waiuku
Shelly Park School,Auckland
Sherwood School (Auckland),Auckland
Silverdale School,Silverdale
Sir Keith Park School,Auckland
Sommerville School,Auckland
St Anne's Catholic School (Manurewa),Auckland
St Dominic's Catholic School (Blockhouse Bay),Auckland
St Francis Catholic School (Pt Chevalier),Auckland
St Heliers School,Auckland
St Ignatius Catholic School (St Heliers),Auckland
St John the Evangelist Catholic School,Auckland
St John's School (Mairangi Bay),Auckland
St Joseph's School (Grey Lynn),Auckland
St Joseph's School (Onehunga),Auckland
